PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Zhao, JF; Wang, YP; Xu, JW; Xie, HF; Sun, S				Zhao, Junfang; Wang, Yupeng; Xu, Jingwen; Xie, Hongfei; Sun, Shuang			Soil Moisture Assessment Based on Multi-Source Remotely Sensed Data in the Huaihe River Basin, China	JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION																													1093-474X	1752-1688															10.1111/1752-1688.12874		SEP 2020					WOS:000568575800001						
J	Dong, NP; Yang, MX; Yu, ZB; Wei, JH; Yang, CG; Yang, QY; Liu, X; Lei, XH; Wang, H; Kunstmann, H				Dong, Ningpeng; Yang, Mingxiang; Yu, Zhongbo; Wei, Jianhui; Yang, Chuanguo; Yang, Qianya; Liu, Xuan; Lei, Xiaohui; Wang, Hao; Kunstmann, Harald			Water resources management in a reservoir-regulated basin: Implications of reservoir network layout on streamflow and hydrologic alteration	JOURNAL OF HYDROLOGY																Wei, Jianhui/N-2783-2019; Kunstmann, Harald/A-7071-2013	Wei, Jianhui/0000-0001-8609-9600; Kunstmann, Harald/0000-0001-9573-1743; Dong, Ningpeng/0000-0002-5226-6180												0022-1694	1879-2707				JUL	2020	586								124903	10.1016/j.jhydrol.2020.124903							WOS:000544258100062						
J	Shi, J; Cui, LL; Tian, Z				Shi, Jun; Cui, Linli; Tian, Zhan			Spatial and temporal distribution and trend in flood and drought disasters in East China	ENVIRONMENTAL RESEARCH																													0013-9351	1096-0953				JUN	2020	185								109406	10.1016/j.envres.2020.109406							WOS:000530034100071	32208206					
J	Yang, MZ; Zhong, PA; Li, JY; Liu, WF; Li, YH; Yan, K; Yuan, YY; Gao, YH				Yang, Minzhi; Zhong, Ping-an; Li, Jieyu; Liu, Weifeng; Li, Yinghui; Yan, Kun; Yuan, Yinyang; Gao, Yihui			Research on intelligent prediction and zonation of basin-scale flood risk based on LSTM method	ENVIRONMENTAL MONITORING AND ASSESSMENT																													0167-6369	1573-2959				MAY 21	2020	192	6							387	10.1007/s10661-020-08351-w							WOS:000534797100001	32436015					
J	Lin, H; Wang, JC; Li, F; Xie, YY; Jiang, CJ; Sun, LP				Lin, Hui; Wang, Jingcai; Li, Fan; Xie, Yangyang; Jiang, Chenjuan; Sun, Lipin			Drought Trends and the Extreme Drought Frequency and Characteristics under Climate Change Based on SPI and HI in the Upper and Middle Reaches of the Huai River Basin, China	WATER																														2073-4441				APR	2020	12	4							1100	10.3390/w12041100							WOS:000539527500177						
J	Li, QF; He, PF; He, YC; Han, XY; Zeng, TS; Lu, GB; Wang, HJ				Li, Qiongfang; He, Pengfei; He, Yongchang; Han, Xingye; Zeng, Tianshan; Lu, Guobin; Wang, Hongjie			Investigation to the relation between meteorological drought and hydrological drought in the upper Shaying River Basin using wavelet analysis	ATMOSPHERIC RESEARCH																													0169-8095	1873-2895				APR	2020	234								UNSP 104743	10.1016/j.atmosres.2019.104743							WOS:000513182600020						
B	Estiningtyas, W; Erni, S; Susanti		Sulaeman, Y; Poggio, L; Minasny, B; Nursyamsi, D		Estiningtyas, W.; Erni, S.; Susanti			The efficacy of using climate data for developing food crops in wetlands: A case study from Kalimantan Island	TROPICAL WETLANDS - INNOVATION IN MAPPING AND MANAGEMENT					International Workshop on Tropical Wetlands - Innovation in Mapping and Management	OCT 19-20, 2018	Banjarmasin, INDONESIA																								978-0-429-26446-7; 978-0-367-20964-3				2020							161	171									WOS:000534135500024						
J	Dong, NP; Yu, ZB; Gu, HH; Yang, CG; Yang, MX; Wei, JH; Wang, H; Arnault, J; Laux, P; Kunstmann, H				Dong, Ningpeng; Yu, Zhongbo; Gu, Huanghe; Yang, Chuanguo; Yang, Mingxiang; Wei, Jianhui; Wang, Hao; Arnault, Joel; Laux, Patrick; Kunstmann, Harald			Climate-induced hydrological impact mitigated by a high-density reservoir network in the Poyang Lake Basin	JOURNAL OF HYDROLOGY																Kunstmann, Harald/A-7071-2013; Laux, Patrick/A-7671-2013; Wei, Jianhui/N-2783-2019	Kunstmann, Harald/0000-0001-9573-1743; Laux, Patrick/0000-0002-8657-6152; Wei, Jianhui/0000-0001-8609-9600; Dong, Ningpeng/0000-0002-5226-6180												0022-1694	1879-2707				DEC	2019	579								124148	10.1016/j.jhydrol.2019.124148							WOS:000500371200001						
J	Wang, JC; Lin, H; Huang, JB; Jiang, CJ; Xie, YY; Zhou, MY				Wang, Jingcai; Lin, Hui; Huang, Jinbai; Jiang, Chenjuan; Xie, Yangyang; Zhou, Mingyao			Variations of Drought Tendency, Frequency, and Characteristics and Their Responses to Climate Change under CMIP5 RCP Scenarios in Huai River Basin, China	WATER																Wang, Jingcai/AAQ-9671-2020	Wang, Jingcai/0000-0001-8778-1257													2073-4441				OCT	2019	11	10							2174	10.3390/w11102174							WOS:000495598400218						
J	Chen, SC; Huang, BS; Yuan, FF; Berndtsson, R; Qiu, J; Chen, XH; Hao, ZC				Chen, Sichun; Huang, Bensheng; Yuan, Feifei; Berndtsson, Ronny; Qiu, Jing; Chen, Xiaohong; Hao, Zhenchun			Spatiotemporal Changes in Precipitation and Temperature in the Huaibei Plain and the Relation between Local Precipitation and Global Teleconnection Patterns	JOURNAL OF HYDROLOGIC ENGINEERING																Berndtsson, Ronny/C-7449-2015													1084-0699	1943-5584				AUG 1	2019	24	8							05019019	10.1061/(ASCE)HE.1943-5584.0001790							WOS:000471724100014						
