PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Babaei, A.; Jafari, H.; Banihashemi, S.					Jafari, Hossein/0000-0001-6807-6675; Babaei, Afshin/0000-0002-6980-9786			Numerical solution of variable order fractional nonlinear quadratic integro-differential equations based on the sixth-kind Chebyshev collocation method								JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS				377						112908	10.1016/j.cam.2020.112908				OCT 15 2020	2020										5	0	0	0	0	0	5			0377-0427	1879-1778		WOS:000530196900020		
J	Patnaik, Sansit; Semperlotti, Fabio								Modeling Contacts and Hysteretic Behavior in Discrete Systems Via Variable-Order Fractional Operators								JOURNAL OF COMPUTATIONAL AND NONLINEAR DYNAMICS				15	9					091008	10.1115/1.4046831				SEP 1 2020	2020						ASME International Design Engineering Technical Conferences / Computers and Information in Engineering Conference (IDETC-CIE)ASME International Design Engineering Technical Conferences / Computers and Information in Engineering Conference (IDETC-CIE)	AUG 18-21, 2019AUG 18-21, 2019	ASME, Design Engn Div; ASME, Comp & Informat Engn DivASME, Design Engn Div; ASME, Comp & Informat Engn Div	Anaheim, CAAnaheim, CA	0	0	0	0	0	0	0			1555-1423	1555-1415		WOS:000566851000007		
J	Fang, Zhi-Wei; Sun, Hai-Wei; Wang, Hong					Sun, Hai-wei/0000-0002-5507-6083			A fast method for variable-order Caputo fractional derivative with applications to time-fractional diffusion equations								COMPUTERS & MATHEMATICS WITH APPLICATIONS				80	5			1443	1458		10.1016/j.camwa.2020.07.009				SEP 1 2020	2020										0	0	0	0	0	0	0			0898-1221	1873-7668		WOS:000557765800052		
J	Wu, Fei; Gao, Renbo; Liu, Jie; Li, Cunbao								New fractional variable-order creep model with short memory								APPLIED MATHEMATICS AND COMPUTATION				380						125278	10.1016/j.amc.2020.125278				SEP 1 2020	2020										4	0	0	0	0	0	4			0096-3003	1873-5649		WOS:000531577800011		
J	Geiger, Andreas C.; Smith, Casey J.; Takanti, Nita; Harmon, Dustin M.; Carlsen, Mark S.; Simpson, Garth J.								Anomalous Diffusion Characterization by Fourier Transform-FRAP with Patterned Illumination								BIOPHYSICAL JOURNAL				119	4			737	748		10.1016/j.bpj.2020.07.013				AUG 18 2020	2020										0	0	0	0	0	0	0			0006-3495	1542-0086		WOS:000561326000005	32771078	
J	Obembe, Abiola D.								A fractional diffusion model for single-well simulation in geological media								JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING				191						107162	10.1016/j.petrol.2020.107162				AUG 2020	2020										0	0	0	0	0	0	0			0920-4105	1873-4715		WOS:000536835200003		
J	Hamid, M.; Usman, M.; Haq, R. U.; Wang, W.				HAMID, Muhammad/S-1802-2019; Usman, Muhammad/AAT-8165-2020; Haq, Rizwan/T-1707-2019	HAMID, Muhammad/0000-0002-1607-8262; Usman, Muhammad/0000-0001-7470-3567; Haq, Rizwan/0000-0002-4595-396X			A Chelyshkov polynomial based algorithm to analyze the transport dynamics and anomalous diffusion in fractional model								PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				551						124227	10.1016/j.physa.2020.124227				AUG 1 2020	2020										1	0	0	0	0	0	1			0378-4371	1873-2119		WOS:000534417600046		
J	Zheng, Xiangcheng; Wang, Hong								Variable-order space-fractional diffusion equations and a variable-order modification of constant-order fractional problems								APPLICABLE ANALYSIS											10.1080/00036811.2020.1789596		JUL 2020			2020										0	0	0	0	0	0	0			0003-6811	1563-504X		WOS:000547049800001		
J	Zheng, Xiangcheng; Wang, Hong								Wellposedness and regularity of a variable-order space-time fractional diffusion equation								ANALYSIS AND APPLICATIONS				18	4			615	638		10.1142/S0219530520500013				JUL 2020	2020										0	0	0	0	0	0	0			0219-5305	1793-6861		WOS:000541486300003		
J	Zahra, Waheed K.; Abdel-Aty, Mahmoud; Abidou, Diaa				Abdel-Aty, Mahmoud/H-4358-2017	Abdel-Aty, Mahmoud/0000-0002-9058-7938; Zahra, Waheed K/0000-0002-6448-6877			A fractional model for estimating the hole geometry in the laser drilling process of thin metal sheets								CHAOS SOLITONS & FRACTALS				136						UNSP 109843	10.1016/j.chaos.2020.109843				JUL 2020	2020										0	0	0	0	0	0	0			0960-0779	1873-2887		WOS:000540925400013		
